       match_id               subtype    team
846        2042                  shot    8654
847        2042                  shot    8549
848        2042                  shot    8654
849        2043                   lob   10261
850        2044                  shot    8456
851        2046                  shot    8668
852        2046                  shot    8668
853        2047              distance   10260
854        2048                  shot    8528
855        2049                  shot   10260
856        2049                   lob   10260
857        2049                  shot    8650
858        2050                  shot   10252
859        2050              distance   10252
860        2050                  shot    8586
861        2051                  shot    8667
862        2051                  shot    8667
863        2051                header    8667
864        2051                  shot   10261
865        2052       direct_freekick    8456
866        2052                header    8455
867        2052                  shot    8455
868        2052                  shot    8455
869        2053                  shot    9825
870        2053                header    9825
871        2053              backheel    9825
872        2053                  shot    9825
873        2054                volley    9879
874        2054              distance    9879
875        2054                header    8559
876        2055                header    8659
877        2055            loose_ball    8654
878        2055                  shot    8654
879        2055               penalty    8659
880        2055                  shot    8659
881        2056                  shot    8549
882        2056                  shot    8462
883        2056                volley    8462
884        2057                  shot    8668
885        2057                header    8668
886        2057                volley   10194
887        2057              distance   10194
888        2057                   lob    8668
889        2057                header    8668
890        2058              backheel    8528
891        2058                  shot    8528
892        2060                missed    8549
893        2060                  shot    8472
894        2060                  shot    8472
895        2062             deflected    8654
896        2062                  shot    8654
897        2062                  shot    8654
898        2062                  shot   10261
899        2063                  shot    8456
900        2063                  shot    8456
901        2063                  shot    8456
902        2063                  shot    8456
903        2063                  shot    8456
904        2063                  shot    8456
905        2064                  shot    8655
906        2065                header    8559
907        2065                  shot    9825
908        2065                  shot    9825
909        2065                  shot    9825
910        2066                header   10252
911        2066                  shot   10252
912        2066            loose_ball    8659
913        2067                header    8667
914        2067                volley    8668
915        2067                  shot    8668
916        2067                volley    8668
917        2068            loose_ball   10260
918        2068                header    8455
919        2069       direct_freekick   10260
920        2069                  shot   10260
921        2070                header    9825
922        2070                  shot    8667
923        2070              distance    8667
924        2070                header    8667
925        2071                  shot    8472
926        2071       direct_freekick   10252
927        2071                  shot   10252
928        2072                volley    8650
929        2072                  shot    8650
930        2072                  shot    8650
931        2073                  shot    8659
932        2074                header    8655
933        2074                header    8655
934        2074              distance   10261
935        2075                  shot    8654
936        2075                  shot    8654
937        2075                  shot    9879
938        2076             clearance    8462
939        2076                header    8462
940        2077                  shot    8455
941        2077                  shot    8455
942        2078              distance    8528
943        2078                volley    8456
944        2078               penalty    8528
945        2079                  shot    9825
946        2079              distance    8472
947        2079                header    9825
948        2080       direct_freekick    8667
949        2081                  shot    8559
950        2081            loose_ball    8559
951        2081                header    8654
952        2081       direct_freekick    8559
953        2082              backheel    8668
954        2082                  shot    8668
955        2082                header   10261
956        2082                  shot   10261
957        2083                  shot    8456
958        2083       direct_freekick    8456
959        2083                  shot    8650
960        2083                header    8650
961        2083            loose_ball    8650
962        2084                header   10260
963        2084                  shot   10260
964        2085                  shot    8659
965        2086          bicycle_kick    8462
966        2086                header   10194
967        2086              distance    8462
968        2087                  shot    8549
969        2088                  shot    8455
970        2088            loose_ball    8455
971        2089                  shot   10260
972        2089                  shot   10260
973        2089                  shot   10260
974        2089                volley   10260
975        2089                  shot   10260
976        2090                  shot    8668
977        2090              distance    9825
